member_id,ActivityDay,StepTotal
6,5/3/2016,11571
6,5/4/2016,6908
6,5/5/2016,18895
6,5/6/2016,18193
6,5/7/2016,10428
6,5/8/2016,16782
6,5/9/2016,16190
6,5/10/2016,19770
6,5/11/2016,5111
6,5/12/2016,14380
6,4/12/2016,6579
7,4/13/2016,14652
7,4/14/2016,8718
7,4/15/2016,3330
7,4/16/2016,16410
7,4/17/2016,11776
7,4/18/2016,12623
7,4/19/2016,900
7,4/20/2016,19404
7,4/21/2016,6938
7,4/22/2016,16621
7,4/23/2016,9446
7,4/24/2016,18986
7,4/25/2016,13749
7,4/26/2016,16211
7,4/27/2016,5478
7,4/28/2016,9906
7,4/29/2016,2035
7,4/30/2016,6960
7,5/1/2016,6721
7,5/2/2016,13210
7,5/3/2016,8586
7,5/4/2016,8727
7,5/5/2016,16468
7,5/6/2016,2779
7,5/7/2016,3001
7,5/8/2016,5338
7,5/9/2016,5554
7,5/10/2016,17703
7,5/11/2016,19026
7,5/12/2016,3663
7,4/12/2016,12487
8,4/13/2016,9039
8,4/14/2016,2098
8,4/15/2016,17553
8,4/16/2016,19334
8,4/17/2016,12592
8,4/18/2016,4179
8,4/19/2016,5684
8,4/20/2016,15594
8,4/21/2016,10925
8,4/22/2016,10061
8,4/23/2016,4651
8,4/24/2016,12625
8,4/25/2016,2635
8,4/26/2016,4162
8,4/27/2016,4863
8,4/28/2016,15749
8,4/29/2016,4884
8,4/30/2016,11262
8,5/1/2016,19579
8,5/2/2016,8390
8,5/3/2016,2658
8,5/4/2016,894
8,5/5/2016,12460
8,5/6/2016,7544
8,5/7/2016,8247
8,5/8/2016,2908
8,5/9/2016,12902
8,5/10/2016,8711
8,5/11/2016,5407
8,5/12/2016,11115
8,4/12/2016,18542
9,4/13/2016,14875
9,4/14/2016,19055
9,4/15/2016,6480
9,4/16/2016,12381
9,4/17/2016,16093
9,4/18/2016,5425
9,4/19/2016,14227
9,4/20/2016,7036
9,4/21/2016,5541
9,4/22/2016,9569
9,4/23/2016,19196
9,4/24/2016,5967
9,4/25/2016,15192
9,4/26/2016,5545
9,4/27/2016,10535
9,4/28/2016,14261
9,4/29/2016,9502
9,4/12/2016,7038
9,4/13/2016,13777
9,4/14/2016,12956
9,4/15/2016,8831
9,4/16/2016,17987
9,4/17/2016,17282
9,4/18/2016,3760
9,4/19/2016,17343
9,4/20/2016,19719
9,4/21/2016,14458
9,4/22/2016,17190
9,4/23/2016,16614
9,4/24/2016,4150
9,4/25/2016,13229
10,4/26/2016,11936
10,4/27/2016,10469
10,4/28/2016,17699
10,4/29/2016,13880
10,4/30/2016,13479
10,5/1/2016,8159
10,5/2/2016,10677
10,5/3/2016,11422
10,5/4/2016,11453
10,5/5/2016,17566
10,5/6/2016,19905
10,5/7/2016,10800
10,5/8/2016,14241
10,5/9/2016,12023
10,5/10/2016,13702
10,5/11/2016,12355
10,5/12/2016,6702
10,4/12/2016,12415
10,4/13/2016,2274
10,4/14/2016,11132
10,4/15/2016,15426
10,4/16/2016,10581
10,4/17/2016,12402
10,4/18/2016,15997
10,4/19/2016,18128
10,4/20/2016,15637
10,4/21/2016,8548
10,4/22/2016,16762
10,4/23/2016,17881
10,4/24/2016,8492
10,4/25/2016,10777
11,4/26/2016,6596
11,4/27/2016,7255
11,4/28/2016,9649
11,4/29/2016,10745
11,4/30/2016,2328
11,5/1/2016,9766
11,4/12/2016,15160
11,4/13/2016,19350
11,4/14/2016,15452
11,4/15/2016,15709
11,4/16/2016,4577
11,4/17/2016,13950
11,4/18/2016,5134
11,4/19/2016,18742
11,4/20/2016,14909
11,4/21/2016,19000
11,4/22/2016,5930
11,4/23/2016,11805
11,4/24/2016,6335
11,4/25/2016,14447
11,4/26/2016,3349
11,4/27/2016,13482
11,4/28/2016,6330
11,4/29/2016,19514
11,4/30/2016,2412
11,5/1/2016,12671
11,5/2/2016,15911
11,5/3/2016,9307
11,5/4/2016,8967
11,5/5/2016,7237
11,5/6/2016,19100
12,5/7/2016,3280
12,5/8/2016,6146
12,5/9/2016,7200
12,5/10/2016,3652
12,5/11/2016,13402
12,4/12/2016,6181
12,4/13/2016,7513
12,4/14/2016,8412
12,4/15/2016,18021
12,4/16/2016,19103
12,4/17/2016,7995
12,4/18/2016,3353
12,4/19/2016,12551
12,4/20/2016,5188
12,4/21/2016,2082
12,4/22/2016,3299
12,4/23/2016,7502
12,4/24/2016,4981
12,4/25/2016,6150
12,4/26/2016,11106
12,4/27/2016,7794
12,4/28/2016,8575
12,4/29/2016,5468
12,4/30/2016,4080
12,5/1/2016,8157
12,5/2/2016,10315
12,5/3/2016,3895
12,5/4/2016,12003
12,5/5/2016,5872
12,5/6/2016,12840
12,5/7/2016,17404
13,5/8/2016,952
13,5/9/2016,12181
13,5/10/2016,11708
13,5/11/2016,1856
13,5/12/2016,11658
13,4/12/2016,17399
13,4/13/2016,19582
13,4/14/2016,3058
13,4/15/2016,8756
13,4/12/2016,6300
13,4/13/2016,1180
13,4/14/2016,1758
13,4/15/2016,3130
13,4/16/2016,9867
13,4/17/2016,2659
13,4/18/2016,9233
13,4/19/2016,19357
13,4/20/2016,10918
13,4/21/2016,10421
13,4/22/2016,3309
13,4/23/2016,16667
13,4/24/2016,4886
13,4/25/2016,2985
13,4/26/2016,17455
13,4/27/2016,8301
13,4/28/2016,5392
13,4/29/2016,4808
13,4/30/2016,2050
13,5/1/2016,17364
13,5/2/2016,3461
13,5/3/2016,6553
14,5/4/2016,14832
14,5/5/2016,10608
14,5/6/2016,16312
14,5/7/2016,7670
14,5/8/2016,8514
14,5/9/2016,14388
14,5/10/2016,6258
14,5/11/2016,17411
14,5/12/2016,18019
14,4/12/2016,7704
14,4/13/2016,8149
14,4/14/2016,5933
14,4/15/2016,10244
14,4/16/2016,14931
14,4/17/2016,18115
14,4/18/2016,3831
14,4/19/2016,4001
14,4/20/2016,6324
14,4/21/2016,14599
14,4/22/2016,4115
14,4/23/2016,15123
14,4/24/2016,11800
14,4/25/2016,13347
14,4/26/2016,16149
14,4/27/2016,12938
14,4/28/2016,10829
14,4/29/2016,2469
14,4/30/2016,2748
14,5/1/2016,2410
14,5/2/2016,14885
14,5/3/2016,7184
15,5/4/2016,11993
15,5/5/2016,9949
15,5/6/2016,9057
15,5/7/2016,19301
15,5/8/2016,13290
15,5/9/2016,8344
15,5/10/2016,15984
15,5/11/2016,19434
15,5/12/2016,12055
15,4/12/2016,16057
15,4/13/2016,2110
15,4/14/2016,16816
15,4/15/2016,5865
15,4/16/2016,1472
15,4/17/2016,1711
15,4/18/2016,9839
15,4/19/2016,12024
15,4/20/2016,5630
15,4/21/2016,5159
15,4/22/2016,7220
15,4/23/2016,13753
15,4/24/2016,12126
15,4/25/2016,19868
15,4/26/2016,8396
15,4/27/2016,18548
15,4/28/2016,13390
15,4/29/2016,6120
15,4/30/2016,11080
15,5/1/2016,16214
15,5/2/2016,3225
15,5/3/2016,4171
16,5/4/2016,5908
16,5/5/2016,3630
16,5/6/2016,15271
16,5/7/2016,14852
16,5/8/2016,6228
16,5/9/2016,8963
16,5/10/2016,2890
16,5/11/2016,1400
16,5/12/2016,17600
16,4/12/2016,13743
16,4/13/2016,15618
16,4/14/2016,12372
16,4/15/2016,2805
16,4/16/2016,16546
16,4/17/2016,5663
16,4/18/2016,14704
16,4/19/2016,13875
16,4/20/2016,8895
16,4/21/2016,3014
16,4/22/2016,12072
16,4/23/2016,8984
16,4/24/2016,1344
16,4/25/2016,12425
16,4/26/2016,5695
16,4/27/2016,4707
16,4/28/2016,1042
16,4/29/2016,16532
16,4/30/2016,5973
16,5/1/2016,8945
16,5/2/2016,10645
16,5/3/2016,15381
17,5/4/2016,15911
17,5/5/2016,3763
17,5/6/2016,10265
17,5/7/2016,18430
17,5/8/2016,10717
17,5/9/2016,4639
17,5/10/2016,14316
17,5/11/2016,13062
17,5/12/2016,10618
17,4/12/2016,9486
17,4/13/2016,18960
17,4/14/2016,3140
17,4/15/2016,10960
17,4/16/2016,18764
17,4/17/2016,6619
17,4/18/2016,12775
17,4/19/2016,18075
17,4/20/2016,13767
17,4/21/2016,6695
17,4/22/2016,13991
17,4/23/2016,4169
17,4/24/2016,3527
17,4/25/2016,17312
17,4/26/2016,6857
17,4/27/2016,15659
17,4/28/2016,17171
17,4/29/2016,11327
17,4/30/2016,11331
17,5/1/2016,3423
17,5/2/2016,15599
17,5/3/2016,18650
18,5/4/2016,6598
18,5/5/2016,3008
18,5/6/2016,17584
18,5/7/2016,12383
18,5/8/2016,15000
18,5/9/2016,15012
18,5/10/2016,9848
18,5/11/2016,5401
18,5/12/2016,1688
18,4/12/2016,15770
18,4/13/2016,9702
18,4/14/2016,15249
18,4/15/2016,14566
18,4/16/2016,15360
18,4/17/2016,10474
18,4/18/2016,4476
18,4/19/2016,9296
18,4/20/2016,5275
18,4/21/2016,14028
18,4/22/2016,16786
18,4/23/2016,11611
18,4/24/2016,13130
18,4/25/2016,19010
18,4/26/2016,13728
18,4/27/2016,7028
18,4/28/2016,10776
18,4/29/2016,11365
18,4/30/2016,1770
18,5/1/2016,18956
18,5/2/2016,5020
18,5/3/2016,3986
19,5/4/2016,15770
19,5/5/2016,10033
19,5/6/2016,18956
19,5/7/2016,6300
19,5/8/2016,9189
19,5/9/2016,6668
19,5/10/2016,6537
19,5/11/2016,7439
19,5/12/2016,10630
19,4/12/2016,13863
19,4/13/2016,5812
19,4/14/2016,8580
19,4/15/2016,19507
19,4/16/2016,11654
19,4/17/2016,7429
19,4/18/2016,15485
19,4/19/2016,18149
19,4/20/2016,10515
19,4/21/2016,7183
19,4/22/2016,19063
19,4/23/2016,9448
19,4/24/2016,13520
19,4/25/2016,10371
19,4/26/2016,10205
19,4/27/2016,1731
19,4/28/2016,5851
19,4/29/2016,12459
19,4/30/2016,5047
19,5/1/2016,13419
19,5/2/2016,17834
19,5/3/2016,18747
20,5/4/2016,11105
20,5/5/2016,9755
20,5/6/2016,14158
20,5/7/2016,7630
20,5/8/2016,14365
20,5/9/2016,6216
20,5/10/2016,15355
20,5/11/2016,18130
20,4/12/2016,9505
20,4/13/2016,8116
20,4/14/2016,3816
20,4/15/2016,14334
20,4/16/2016,1156
20,4/17/2016,11437
20,4/18/2016,1750
20,4/19/2016,18894
20,4/20/2016,4063
20,4/21/2016,16172
20,4/22/2016,3135
20,4/23/2016,4333
20,4/24/2016,10442
20,4/25/2016,9907
20,4/26/2016,1348
20,4/27/2016,19004
20,4/28/2016,9371
20,4/29/2016,5600
20,4/30/2016,19494
20,5/1/2016,10765
20,5/2/2016,5883
20,5/3/2016,1739
20,5/4/2016,13218
21,5/5/2016,15426
21,5/6/2016,4407
21,5/7/2016,6155
21,5/8/2016,13990
21,5/9/2016,19746
21,4/12/2016,3562
21,4/13/2016,13036
21,4/14/2016,9889
21,4/15/2016,16948
21,4/16/2016,18274
21,4/17/2016,10435
21,4/18/2016,12556
21,4/19/2016,5158
21,4/20/2016,14213
21,4/21/2016,17973
21,4/22/2016,16379
21,4/23/2016,18185
21,4/24/2016,7928
21,4/25/2016,6476
21,4/26/2016,7891
21,4/27/2016,12783
21,4/28/2016,8740
21,4/29/2016,18321
21,4/30/2016,1407
21,5/1/2016,4317
21,5/2/2016,19467
21,5/3/2016,11096
21,5/4/2016,17202
21,5/5/2016,10122
21,5/6/2016,11657
21,5/7/2016,10815
22,5/8/2016,2641
22,5/9/2016,13726
22,5/10/2016,19079
22,4/12/2016,2910
22,4/13/2016,8342
22,4/14/2016,3043
22,4/15/2016,11165
22,4/16/2016,17026
22,4/17/2016,15066
22,4/18/2016,7856
22,4/19/2016,4047
22,4/20/2016,14522
22,4/21/2016,12855
22,4/22/2016,11876
22,4/23/2016,9548
22,4/24/2016,10279
22,4/25/2016,15963
22,4/26/2016,10179
22,4/27/2016,16585
22,4/28/2016,17497
22,4/29/2016,19361
22,4/30/2016,12925
22,5/1/2016,10591
22,5/2/2016,9455
22,5/3/2016,14092
22,5/4/2016,3016
22,5/5/2016,9995
22,5/6/2016,2019
22,5/7/2016,12742
22,4/12/2016,7312
22,4/13/2016,4326
23,4/14/2016,8601
23,4/15/2016,16681
23,4/16/2016,9898
23,4/17/2016,5297
23,4/18/2016,8762
23,4/19/2016,14145
23,4/20/2016,1654
23,4/21/2016,17639
23,4/22/2016,18651
23,4/23/2016,19919
23,4/24/2016,16128
23,4/25/2016,5091
23,4/26/2016,12552
23,4/27/2016,9269
23,4/28/2016,2026
23,4/29/2016,10508
23,4/30/2016,4216
23,5/1/2016,16325
23,5/2/2016,18302
23,5/3/2016,2599
23,5/4/2016,9344
23,5/5/2016,9402
23,5/6/2016,10564
23,5/7/2016,15063
23,5/8/2016,16095
23,5/9/2016,15874
23,5/10/2016,16940
23,5/11/2016,6338
23,5/12/2016,8650
23,4/12/2016,5434
23,4/13/2016,3547
24,4/14/2016,15908
24,4/15/2016,2798
24,4/16/2016,3072
24,4/17/2016,14856
24,4/18/2016,15327
24,4/19/2016,2830
24,4/20/2016,3231
24,4/21/2016,6763
24,4/22/2016,11183
24,4/23/2016,14238
24,4/24/2016,4950
24,4/25/2016,14828
24,4/26/2016,6352
24,4/27/2016,17246
24,4/28/2016,18794
24,4/29/2016,13392
24,4/30/2016,8786
24,5/1/2016,3611
24,5/2/2016,8503
24,5/3/2016,15680
24,5/4/2016,9181
24,5/5/2016,1340
24,5/6/2016,12201
24,5/7/2016,18627
24,4/12/2016,14280
24,4/13/2016,1068
24,4/14/2016,18938
24,4/15/2016,9792
24,4/16/2016,13994
24,4/17/2016,11759
24,4/18/2016,17751
25,4/19/2016,18891
25,4/20/2016,1867
25,4/21/2016,8971
25,4/22/2016,14498
25,4/23/2016,1640
25,4/24/2016,14775
25,4/25/2016,15877
25,4/26/2016,13258
25,4/27/2016,2944
25,4/28/2016,18880
25,4/29/2016,3958
25,4/30/2016,11800
25,5/1/2016,9469
25,5/2/2016,3431
25,5/3/2016,3037
25,5/4/2016,13115
25,5/5/2016,7349
25,5/6/2016,16386
25,5/7/2016,16167
25,5/8/2016,6322
25,5/9/2016,4421
25,5/10/2016,3449
25,5/11/2016,6118
25,5/12/2016,16510
25,4/12/2016,17150
25,4/13/2016,17522
25,4/14/2016,2650
25,4/15/2016,9511
25,4/16/2016,14627
25,4/17/2016,16946
25,4/18/2016,10769
26,4/19/2016,10533
26,4/20/2016,2463
26,4/21/2016,10659
26,4/22/2016,12419
26,4/23/2016,16078
26,4/24/2016,19552
26,4/25/2016,13910
26,4/26/2016,13382
26,4/27/2016,4186
26,4/28/2016,16957
26,4/29/2016,8748
26,4/30/2016,4091
26,5/1/2016,3744
26,5/2/2016,6449
26,5/3/2016,11148
26,5/4/2016,6541
26,5/5/2016,6744
26,5/6/2016,7047
26,5/7/2016,14874
26,5/8/2016,5059
26,5/9/2016,18245
26,5/10/2016,12990
26,5/11/2016,14010
26,5/12/2016,11110
26,4/12/2016,3474
26,4/13/2016,16941
26,4/14/2016,14866
26,4/15/2016,7935
26,4/16/2016,16707
26,4/17/2016,14571
26,4/18/2016,16108
27,4/19/2016,11885
27,4/20/2016,997
27,4/21/2016,2182
27,4/22/2016,18956
27,4/23/2016,3803
27,4/24/2016,4958
27,4/25/2016,6244
27,4/26/2016,9211
27,4/27/2016,11067
27,4/28/2016,18245
27,4/29/2016,14607
27,4/30/2016,7651
27,4/12/2016,18754
27,4/13/2016,7802
27,4/14/2016,3181
27,4/15/2016,14326
27,4/16/2016,1305
27,4/17/2016,16585
27,4/18/2016,7770
27,4/19/2016,16813
27,4/20/2016,16187
27,4/21/2016,15511
27,4/22/2016,17738
27,4/23/2016,10468
27,4/24/2016,5451
27,4/25/2016,13778
27,4/26/2016,19445
27,4/27/2016,19241
27,4/28/2016,7200
27,4/29/2016,15450
27,4/30/2016,16434
28,5/1/2016,8006
28,5/2/2016,9081
28,5/3/2016,6309
28,5/4/2016,1921
28,5/5/2016,15561
28,5/6/2016,11458
28,5/7/2016,19227
28,5/8/2016,15727
28,5/9/2016,4074
28,5/10/2016,881
28,5/11/2016,9172
28,5/12/2016,3238
28,4/12/2016,10191
28,4/13/2016,9948
28,4/14/2016,12458
28,4/15/2016,7039
28,4/16/2016,18980
28,4/17/2016,10108
28,4/18/2016,9553
28,4/19/2016,12208
28,4/20/2016,3403
28,4/21/2016,19139
28,4/22/2016,9932
28,4/23/2016,19829
28,4/24/2016,12686
28,4/25/2016,4292
28,4/26/2016,12344
28,4/27/2016,4384
28,4/28/2016,16929
28,4/29/2016,2062
28,4/30/2016,6879
29,5/1/2016,15313
29,5/2/2016,8138
29,5/3/2016,15273
29,5/4/2016,7604
29,5/5/2016,19519
29,5/6/2016,4874
29,5/7/2016,7190
29,5/8/2016,17180
29,5/9/2016,2256
29,5/10/2016,10908
29,5/11/2016,2222
29,5/12/2016,17223
29,4/12/2016,5607
29,4/13/2016,3449
29,4/14/2016,10277
29,4/15/2016,2679
29,4/16/2016,8920
29,4/17/2016,17279
29,4/18/2016,9202
29,4/19/2016,14401
29,4/20/2016,9373
29,4/21/2016,10731
29,4/22/2016,9729
29,4/23/2016,12170
29,4/24/2016,8921
29,4/25/2016,5446
29,4/26/2016,16801
29,4/27/2016,14881
29,4/28/2016,19001
29,4/29/2016,6717
29,4/30/2016,13801
30,5/1/2016,12016
30,5/2/2016,17045
30,5/3/2016,8866
30,5/4/2016,16307
30,5/5/2016,16415
30,5/6/2016,19185
30,5/7/2016,9642
30,5/8/2016,6103
30,5/9/2016,893
30,5/10/2016,7383
30,4/12/2016,6995
30,4/13/2016,12642
30,4/14/2016,4802
30,4/15/2016,11673
30,4/16/2016,12566
30,4/17/2016,11857
30,4/18/2016,9033
30,4/19/2016,17213
30,4/20/2016,3630
30,4/21/2016,9125
30,4/22/2016,11948
30,4/23/2016,17431
30,4/24/2016,11582
30,4/25/2016,16982
30,4/26/2016,9289
30,4/27/2016,10874
30,4/28/2016,12528
30,4/29/2016,6259
30,4/30/2016,1818
30,5/1/2016,6982
30,5/2/2016,4974
31,5/3/2016,19299
31,5/4/2016,15343
31,5/5/2016,19191
31,5/6/2016,1468
31,5/7/2016,4511
31,5/8/2016,16869
31,5/9/2016,5859
31,5/10/2016,18289
31,5/11/2016,13472
31,5/12/2016,7089
31,5/9/2016,9612
31,4/12/2016,4887
31,4/13/2016,9286
31,4/14/2016,12684
31,4/15/2016,1036
31,4/16/2016,3409
31,4/17/2016,2664
31,4/18/2016,2680
31,4/19/2016,19506
31,4/20/2016,12875
31,4/21/2016,5904
31,4/22/2016,6849
31,4/23/2016,7000
31,4/24/2016,16220
31,4/25/2016,8696
31,4/26/2016,9057
31,4/27/2016,15111
31,4/28/2016,18956
31,4/29/2016,12150
31,4/30/2016,8164
31,5/1/2016,8128
32,5/2/2016,2615
32,5/3/2016,14874
32,5/4/2016,2167
32,5/5/2016,1737
32,5/6/2016,8329
32,5/7/2016,9809
32,5/8/2016,19805
32,5/9/2016,3784
32,5/10/2016,9939
32,5/11/2016,11699
32,5/12/2016,17185
32,4/12/2016,8589
32,4/13/2016,15816
32,4/14/2016,1346
32,4/15/2016,5823
32,4/16/2016,1314
32,4/17/2016,19459
32,4/18/2016,6325
32,4/19/2016,14327
32,4/20/2016,8468
32,4/21/2016,10457
32,4/22/2016,18252
32,4/23/2016,7563
32,4/24/2016,1165
32,4/25/2016,18665
32,4/26/2016,13785
32,4/27/2016,10756
32,4/28/2016,15907
32,4/29/2016,1874
32,4/30/2016,17597
32,5/1/2016,8624
33,5/2/2016,18859
33,5/3/2016,17377
33,5/4/2016,10503
33,5/5/2016,9933
33,5/6/2016,7429
33,5/7/2016,3819
33,5/8/2016,18955
33,5/9/2016,16498
33,5/10/2016,8599
33,5/11/2016,3209
33,5/12/2016,15219
33,4/12/2016,9134
33,4/13/2016,14286
33,4/14/2016,14688
33,4/15/2016,8079
33,4/16/2016,12595
33,4/17/2016,8431
33,4/18/2016,16991
33,4/19/2016,3902
33,4/20/2016,10609
33,4/21/2016,931
33,4/22/2016,17932
33,4/23/2016,12831
33,4/24/2016,15668
33,4/25/2016,7283
33,4/26/2016,6560
33,4/27/2016,11614
33,4/28/2016,14533
33,4/29/2016,8119
33,4/30/2016,16696
33,5/1/2016,19173
34,5/2/2016,3045
34,5/3/2016,13215
34,5/4/2016,17963
34,5/5/2016,3292
34,5/6/2016,15744
34,5/7/2016,9154
34,5/8/2016,10393
34,5/9/2016,5679
34,5/10/2016,2224
34,5/11/2016,8842
34,4/12/2016,17576
34,4/13/2016,19003
34,4/14/2016,18507
34,4/15/2016,7686
34,4/16/2016,7860
34,4/17/2016,1156
34,4/18/2016,4145
34,4/19/2016,4388
34,4/20/2016,6219
34,4/21/2016,19187
34,4/22/2016,19890
34,4/23/2016,8590
34,4/24/2016,1030
34,4/25/2016,7874
34,4/26/2016,7378
34,4/27/2016,7480
34,4/28/2016,4749
34,4/29/2016,15863
34,4/30/2016,7309
34,5/1/2016,6188
34,5/2/2016,14407
35,5/3/2016,14221
35,5/4/2016,16781
35,5/5/2016,4788
35,5/6/2016,4587
35,5/7/2016,9220
35,5/8/2016,19749
35,5/9/2016,14457
35,5/10/2016,1863
35,5/11/2016,9343
35,5/12/2016,6197
35,4/12/2016,16143
35,4/13/2016,19033
35,4/14/2016,16663
35,4/15/2016,6294
35,4/16/2016,17432
35,4/17/2016,1509
35,4/18/2016,5668
35,4/19/2016,3724
35,4/20/2016,4079
35,4/21/2016,4974
35,4/22/2016,17715
35,4/23/2016,4281
35,4/24/2016,17530
35,4/25/2016,1456
35,4/26/2016,5432
35,4/27/2016,5998
35,4/28/2016,5130
35,4/29/2016,16061
35,4/30/2016,6070
35,5/1/2016,11915
35,5/2/2016,12618
36,5/3/2016,15798
36,5/4/2016,8911
36,5/5/2016,2750
36,5/6/2016,1655
36,5/7/2016,16454
36,5/8/2016,15456
36,5/9/2016,5341
36,5/10/2016,5963
36,5/11/2016,8202
36,5/12/2016,15512
36,4/12/2016,9359
36,4/13/2016,17768
36,4/14/2016,11258
36,4/15/2016,2931
36,4/16/2016,15765
36,4/17/2016,1983
36,4/18/2016,14759
36,4/19/2016,18762
36,4/20/2016,7351
36,4/21/2016,4595
36,4/22/2016,9519
36,4/23/2016,4343
36,4/24/2016,16855
36,4/25/2016,19525
36,4/26/2016,6587
36,4/27/2016,2210
36,4/28/2016,5133
36,4/29/2016,3489
36,4/30/2016,7627
36,5/1/2016,6375
36,5/2/2016,10038
37,5/3/2016,3332
37,5/4/2016,16122
37,5/5/2016,13526
37,5/6/2016,8398
37,5/7/2016,3570
37,5/8/2016,12661
37,5/9/2016,15687
37,5/10/2016,15261
37,5/11/2016,18576
37,5/12/2016,8465
37,4/12/2016,13389
37,4/13/2016,4914
37,4/14/2016,10072
37,4/15/2016,5894
37,4/16/2016,18358
37,4/17/2016,6137
37,4/18/2016,12492
37,4/19/2016,15183
37,4/20/2016,7964
37,4/21/2016,11705
37,4/22/2016,19105
37,4/23/2016,14842
37,4/24/2016,804
37,4/25/2016,10543
37,4/26/2016,6444
37,4/27/2016,14538
37,4/28/2016,15223
37,4/29/2016,8833
37,4/30/2016,13792
37,5/1/2016,15029
37,5/2/2016,940
38,5/3/2016,8333
38,5/4/2016,4103
38,5/5/2016,6699
38,5/6/2016,19564
38,5/7/2016,6260
38,5/8/2016,10758
38,5/9/2016,9389
38,5/10/2016,14340
38,5/11/2016,13603
38,5/12/2016,4580
38,4/12/2016,17314
38,4/13/2016,18065
38,4/14/2016,6595
38,4/15/2016,6914
38,4/16/2016,16576
38,4/17/2016,18837
38,4/18/2016,6767
